                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.79922,                0.96064,                0.69389,                 1.0268,                0.85186,                0.60206,                0.69535,                0.52983,                0.74199,                0.48027,                0.50509,                0.25099,                0.86122,                0.97224,                0.73678,                 1.1111,              0.0015446,              0.0015446,              0.0015446
                     25,                0.80016,                0.95835,                0.71462,                  1.034,                0.76098,                0.63892,                0.69725,                0.51785,                0.67375,                0.51364,                0.52681,                0.26062,                0.85419,                0.89299,                0.73916,                 1.1071,              0.0015248,              0.0015248,              0.0015248
                     26,                0.81625,                0.97044,                0.70861,                 1.0362,                0.82464,                0.62264,                0.69871,                0.52759,                0.70974,                0.53345,                0.56069,                0.27375,                0.84245,                 0.8672,                0.71222,                 1.1056,               0.001505,               0.001505,               0.001505
                     27,                0.78562,                0.92952,                0.67346,                 1.0238,                  0.837,                0.59691,                0.70227,                0.52839,                0.74931,                0.49731,                0.53656,                0.27165,                0.85317,                0.84545,                0.71299,                 1.1144,              0.0014852,              0.0014852,              0.0014852
                     28,                0.77882,                 0.9303,                0.67949,                  1.025,                0.80842,                0.62246,                 0.6955,                0.51972,                0.77683,                0.51286,                0.55502,                0.27198,                0.87723,                0.92045,                0.76032,                 1.1424,              0.0014654,              0.0014654,              0.0014654
                     29,                0.75926,                0.87825,                0.65299,                 1.0166,                0.74353,                0.66137,                0.70198,                0.51822,                0.68935,                 0.5443,                0.55422,                0.26624,                0.88973,                0.89573,                0.73182,                 1.1437,              0.0014456,              0.0014456,              0.0014456
                     30,                  0.766,                0.89702,                0.64945,                 1.0101,                0.82102,                 0.6175,                0.70969,                0.53934,                0.72668,                0.53002,                 0.5531,                0.26422,                0.82735,                0.82299,                0.71622,                 1.1159,              0.0014258,              0.0014258,              0.0014258
                     31,                0.76797,                0.92911,                0.67157,                 1.0129,                0.84783,                0.61578,                0.70487,                0.52077,                0.74951,                0.53173,                0.55756,                 0.2889,                0.88539,                0.85976,                0.73481,                  1.138,               0.001406,               0.001406,               0.001406
                     32,                0.76087,                0.89338,                0.66214,                 1.0101,                0.81457,                0.63122,                 0.7082,                0.52965,                0.72711,                0.53173,                 0.5543,                0.28812,                0.85862,                0.87661,                 0.7237,                 1.1397,              0.0013862,              0.0013862,              0.0013862
                     33,                0.76489,                0.89273,                0.65902,                 1.0141,                0.77383,                0.65866,                 0.7081,                0.52966,                 0.7752,                0.53345,                0.57226,                0.28614,                0.84274,                0.88711,                0.69942,                 1.1102,              0.0013664,              0.0013664,              0.0013664
                     34,                0.74081,                0.88258,                 0.6354,                0.99688,                0.81598,                 0.6389,                0.71891,                0.53861,                0.74904,                0.55575,                0.57766,                0.28748,                0.83833,                0.91147,                0.69592,                 1.1028,              0.0013466,              0.0013466,              0.0013466
                     35,                0.74164,                0.87394,                0.63289,                 1.0055,                0.79112,                0.64494,                0.71577,                0.54216,                0.72192,                0.54031,                0.56008,                0.28458,                0.81759,                0.88891,                0.71978,                 1.0989,              0.0013268,              0.0013268,              0.0013268
                     36,                0.73686,                0.87334,                 0.6317,                0.99694,                0.77892,                0.63808,                0.70276,                0.53231,                 0.6949,                0.55477,                0.56847,                0.28359,                0.83212,                0.85096,                0.72806,                 1.1132,               0.001307,               0.001307,               0.001307
                     37,                0.72466,                0.86054,                0.61266,                0.98908,                0.78088,                0.63572,                0.70825,                0.53489,                0.76727,                0.53859,                0.57552,                0.28813,                0.81706,                0.79635,                0.71618,                 1.0886,              0.0012872,              0.0012872,              0.0012872
                     38,                0.72962,                0.89534,                0.61728,                0.99487,                0.81122,                0.63808,                 0.7112,                0.53761,                0.70853,                0.53789,                0.56125,                0.28385,                0.83537,                0.85894,                0.70283,                 1.1244,              0.0012674,              0.0012674,              0.0012674
